iShares MSCI World ETF
Fund Holdings as of,"Jul 02, 2025"
Inception Date,"Jan 10, 2012"
Shares Outstanding,"29,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MC","LVMH","Consumer Discretionary","Equity","10,397,174.04","0.21","10,397,174.04","18,087.00","574.84","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","10,353,571.68","0.21","10,353,571.68","113,352.00","91.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","10,330,301.34","0.21","10,330,301.34","753,900.00","13.70","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"BLK","BLACKROCK INC","Financials","Equity","10,316,012.52","0.21","10,316,012.52","9,636.00","1,070.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALV","ALLIANZ","Financials","Equity","10,302,370.94","0.21","10,302,370.94","25,712.00","400.68","Germany","Xetra","USD","0.85","EUR","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","10,252,051.74","0.20","10,252,051.74","42,849.00","239.26","United States","NASDAQ","USD","1.00","USD","-"
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","10,239,966.67","0.20","10,239,966.67","401,200.00","25.52","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","10,199,926.81","0.20","10,199,926.81","53,681.00","190.01","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","10,143,926.18","0.20","10,143,926.18","97,886.00","103.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","10,064,699.83","0.20","10,064,699.83","165,048.00","60.98","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","9,975,554.28","0.20","9,975,554.28","136,614.00","73.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","9,915,503.60","0.20","9,915,503.60","38,462.00","257.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","9,519,751.93","0.19","9,519,751.93","36,172.00","263.18","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"PFE","PFIZER INC","Health Care","Equity","9,486,619.08","0.19","9,486,619.08","374,669.00","25.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","9,380,863.80","0.19","9,380,863.80","39,555.00","237.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","9,339,446.06","0.19","9,339,446.06","26,074.00","358.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","9,288,227.82","0.19","9,288,227.82","74,122.00","125.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","9,231,593.90","0.18","9,231,593.90","42,190.00","218.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","9,194,799.35","0.18","9,194,799.35","18,205.00","505.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","9,176,603.94","0.18","9,176,603.94","82,294.00","111.51","United States","NASDAQ","USD","1.00","USD","-"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","9,155,066.43","0.18","9,155,066.43","80,054.00","114.36","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","9,010,671.72","0.18","9,010,671.72","251,484.00","35.83","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","8,987,942.46","0.18","8,987,942.46","73,829.00","121.74","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","8,862,440.23","0.18","8,862,440.23","17,033.00","520.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","8,798,093.55","0.18","8,798,093.55","22,455.00","391.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"6501","HITACHI LTD","Industrials","Equity","8,740,968.58","0.17","8,740,968.58","303,500.00","28.80","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"DHR","DANAHER CORP","Health Care","Equity","8,678,542.50","0.17","8,678,542.50","42,857.00","202.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","8,604,437.48","0.17","8,604,437.48","43,684.00","196.97","United States","NASDAQ","USD","1.00","USD","-"
"SAN","BANCO SANTANDER SA","Financials","Equity","8,601,796.23","0.17","8,601,796.23","1,026,656.00","8.38","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"TD","TORONTO DOMINION","Financials","Equity","8,584,029.40","0.17","8,584,029.40","115,791.00","74.13","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"TTE","TOTALENERGIES","Energy","Equity","8,467,262.10","0.17","8,467,262.10","134,797.00","62.81","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","8,449,470.85","0.17","8,449,470.85","85,495.00","98.83","United States","NASDAQ","USD","1.00","USD","-"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","8,405,955.75","0.17","8,405,955.75","229,912.00","36.56","Germany","Xetra","USD","0.85","EUR","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","8,356,157.74","0.17","8,356,157.74","36,821.00","226.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BHP","BHP GROUP LTD","Materials","Equity","8,196,207.64","0.16","8,196,207.64","335,687.00","24.42","Australia","Asx - All Markets","USD","1.52","AUD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","8,172,289.50","0.16","8,172,289.50","26,790.00","305.05","United States","NASDAQ","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","8,113,219.40","0.16","8,113,219.40","16,354.00","496.10","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","8,070,678.20","0.16","8,070,678.20","8,762.00","921.10","United States","NASDAQ","USD","1.00","USD","-"
"AIR","AIRBUS GROUP","Industrials","Equity","8,039,579.54","0.16","8,039,579.54","39,000.00","206.14","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"COP","CONOCOPHILLIPS","Energy","Equity","8,025,983.40","0.16","8,025,983.40","84,985.00","94.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","7,974,974.65","0.16","7,974,974.65","32,531.00","245.15","United States","NASDAQ","USD","1.00","USD","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","7,892,471.57","0.16","7,892,471.57","38,134.00","206.97","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","7,837,561.56","0.16","7,837,561.56","79,553.00","98.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","7,689,986.78","0.15","7,689,986.78","16,826.00","457.03","United States","NASDAQ","USD","1.00","USD","-"
"UBSG","UBS GROUP AG","Financials","Equity","7,571,367.12","0.15","7,571,367.12","217,979.00","34.73","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","7,479,787.84","0.15","7,479,787.84","84,728.00","88.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBE","IBERDROLA SA","Utilities","Equity","7,413,441.97","0.15","7,413,441.97","386,736.00","19.17","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","7,398,845.65","0.15","7,398,845.65","2,993.00","2,472.05","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","7,390,075.00","0.15","7,390,075.00","48,125.00","153.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SAF","SAFRAN SA","Industrials","Equity","7,379,202.03","0.15","7,379,202.03","23,548.00","313.37","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"SAN","SANOFI SA","Health Care","Equity","7,375,267.93","0.15","7,375,267.93","74,961.00","98.39","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","7,180,140.00","0.14","7,180,140.00","10,120.00","709.50","Sweden","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","7,161,007.50","0.14","7,161,007.50","558,402.00","12.82","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"TMUS","T MOBILE US INC","Communication","Equity","7,153,939.44","0.14","7,153,939.44","30,132.00","237.42","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","7,097,606.79","0.14","7,097,606.79","70,183.00","101.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","7,051,915.86","0.14","7,051,915.86","74,877.00","94.18","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","7,023,566.16","0.14","7,023,566.16","25,077.00","280.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OR","LOREAL SA","Consumer Staples","Equity","6,938,412.07","0.14","6,938,412.07","15,814.00","438.75","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","6,876,310.97","0.14","6,876,310.97","30,859.00","222.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","6,859,581.84","0.14","6,859,581.84","32,247.00","212.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","6,837,240.54","0.14","6,837,240.54","37,621.00","181.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","6,719,955.51","0.13","6,719,955.51","35,206.00","190.88","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"SO","SOUTHERN","Utilities","Equity","6,643,376.60","0.13","6,643,376.60","72,884.00","91.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","6,612,650.43","0.13","6,612,650.43","61,053.00","108.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"7974","NINTENDO LTD","Communication","Equity","6,580,107.62","0.13","6,580,107.62","72,900.00","90.26","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","6,576,094.63","0.13","6,576,094.63","111,139.00","59.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","6,572,649.32","0.13","6,572,649.32","9,583.00","685.87","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"MSTR","MICROSTRATEGY INC CLASS A","Information Technology","Equity","6,568,830.12","0.13","6,568,830.12","16,329.00","402.28","United States","NASDAQ","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","6,560,342.90","0.13","6,560,342.90","38,042.00","172.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","6,475,150.32","0.13","6,475,150.32","23,476.00","275.82","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","6,456,272.90","0.13","6,456,272.90","13,958.00","462.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","6,447,524.51","0.13","6,447,524.51","42,781.00","150.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"1299","AIA GROUP LTD","Financials","Equity","6,438,931.71","0.13","6,438,931.71","711,400.00","9.05","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.85","HKD","-"
"ENB","ENBRIDGE INC","Energy","Equity","6,415,229.77","0.13","6,415,229.77","143,776.00","44.62","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","6,399,348.19","0.13","6,399,348.19","14,789.00","432.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UCG","UNICREDIT","Financials","Equity","6,389,982.67","0.13","6,389,982.67","95,720.00","66.76","Italy","Borsa Italiana","USD","0.85","EUR","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","6,386,796.27","0.13","6,386,796.27","20,829.00","306.63","United States","NASDAQ","USD","1.00","USD","-"
